x,y
-1.00030994,0.0061037
-1.00017594,0.0061037
-1.00004194,0.0061037
-0.99990794,0.0061037
-0.99977394,0.0061037
-0.99963994,0.0061037
-0.99950594,0.0061037
-0.99937194,0.0061037
-0.99923794,0.0061037
-0.99910394,0.0061037
-0.99896994,0.0061037
-0.99883594,0.0061037
-0.99870194,0.0061037
-0.99856794,0.0061037
-0.99843394,0.0061037
-0.99829994,0.0061037
-0.99816594,0.0061037
-0.99803194,0.0061037
-0.99789794,0.0061037
-0.99776394,0.0061037
-0.99762994,0.0061037
-0.99749594,0.0061037
-0.99736194,0.0061037
-0.99722794,0.0061037
-0.99709394,0.0061037
-0.99695994,0.0061037
-0.99682594,0.0061037
-0.99669194,0.0061037
-0.99655794,0.0061037
-0.99642394,0.0061037
-0.99628994,0.0061037
-0.99615594,0.0061037
-0.99602194,0.0061037
-0.99588794,0.0061037
-0.99575394,0.0061037
-0.99561994,0.0061037
-0.99548594,0.0061037
-0.99535194,0.0061037
-0.99521794,0.0061037
-0.99508394,0.0061037
-0.99494994,0.0061037
-0.99481594,0.0061037
-0.99468194,0.0061037
-0.99454794,0.0061037
-0.99441394,0.0061037
-0.99427994,0.0061037
-0.99414594,0.0061037
-0.99401194,0.0061037
-0.99387794,0.0061037
-0.99374394,0.0061037
-0.99360994,0.0061037
-0.99347594,0.0061037
-0.99334194,0.0061037
-0.99320794,0.0061037
-0.99307394,0.0061037
-0.99293994,0.0061037
-0.99280594,0.0061037
-0.99267194,0.0061037
-0.99253794,0.0061037
-0.99240394,0.0061037
-0.99226994,0.0061037
-0.99213594,0.0061037
-0.99200194,0.0061037
-0.99186794,0.0061037
-0.99173394,0.0061037
-0.99159994,0.0061037
-0.99146594,0.0061037
-0.99133194,0.0061037
-0.99119794,0.0061037
-0.99106394,0.0061037
-0.99092994,0.0061037
-0.99079594,0.0061037
-0.99066194,0.0061037
-0.99052794,0.0061037
-0.99039394,0.0061037
-0.99025994,0.0061037
-0.99012594,0.0061037
-0.98999194,0.0061037
-0.98985794,0.0061037
-0.98972394,0.0061037
-0.98958994,0.0061037
-0.98945594,0.0061037
-0.98932194,0.0061037
-0.98918794,0.0061037
-0.98905394,0.0061037
-0.98891994,0.0061037
-0.98878594,0.0061037
-0.98865194,0.0061037
-0.98851794,0.0061037
-0.98838394,0.0061037
-0.98824994,0.0061037
-0.98811594,0.0061037
-0.98798194,0.0061037
-0.98784794,0.0061037
-0.98771394,0.0061037
-0.98757994,0.0061037
-0.98744594,0.0061037
-0.98731194,0.0061037
-0.98717794,0.0061037
-0.98704394,0.0061037
-0.98690994,0.0061037
-0.98677594,0.0061037
-0.98664194,0.0061037
-0.98650794,0.0061037
-0.98637394,0.0061037
-0.98623994,0.0061037
-0.98610594,0.0061037
-0.98597194,0.09521775
-0.98583794,0.0061037
-0.98570394,0.0061037
-0.98556994,0.0061037
-0.98543594,0.0061037
-0.98530194,0.0061037
-0.98516794,0.0061037
-0.98503394,0.0061037
-0.98489994,0.0061037
-0.98476594,0.0061037
-0.98463194,0.0061037
-0.98449794,0.0061037
-0.98436394,0.0061037
-0.98422994,0.0061037
-0.98409594,0.0061037
-0.98396194,0.0061037
-0.98382794,0.0061037
-0.98369394,0.0061037
-0.98355994,0.0061037
-0.98342594,0.0061037
-0.98329194,0.0061037
-0.98315794,0.0061037
-0.98302394,0.0061037
-0.98288994,0.0061037
-0.98275594,0.0061037
-0.98262194,0.0061037
-0.98248794,0.0061037
-0.98235394,0.0061037
-0.98221994,0.0061037
-0.98208594,0.0061037
-0.98195194,0.0061037
-0.98181794,0.0061037
-0.98168394,0.0061037
-0.98154994,0.0061037
-0.98141594,0.0061037
-0.98128194,0.0061037
-0.98114794,0.0061037
-0.98101394,0.0061037
-0.98087994,0.0061037
-0.98074594,0.0061037
-0.98061194,0.0061037
-0.98047794,0.0061037
-0.98034394,0.0061037
-0.98020994,0.0061037
-0.98007594,0.0061037
-0.97994194,0.0061037
-0.97980794,0.0061037
-0.97967394,0.0061037
-0.97953994,0.0061037
-0.97940594,0.0061037
-0.97927194,0.0061037
-0.97913794,0.0061037
-0.97900394,0.0061037
-0.97886994,0.0061037
-0.97873594,0.0061037
-0.97860194,0.0061037
-0.97846794,0.0061037
-0.97833394,0.0061037
-0.97819994,0.0061037
-0.97806594,0.0061037
-0.97793194,0.0061037
-0.97779794,0.0061037
-0.97766394,0.0061037
-0.97752994,0.0061037
-0.97739594,0.0061037
-0.97726194,0.0061037
-0.97712794,0.0061037
-0.97699394,0.0061037
-0.97685994,0.0061037
-0.97672594,0.0061037
-0.97659194,0.0061037
-0.97645794,0.0061037
-0.97632394,0.0061037
-0.97618994,0.0061037
